"Year","Country","CostOfLiving","Rent","LocalPurchasingPower","GrossRentalYieldCityCentre","GrossRentalYieldOutsideOfCentre","MortgageAsAPercentageOfIncome","Crime","HealthCare","Pollution","Traffic","Time","CO2Emission","Continent"
2012,"Norway",151.34,55.5,92.62,4.18,4.35,55.86,19.07,79.04,19.22,43.38,18.5,1291.33,"Europe"
2012,"Switzerland",141.31,58.51,127.45,3.55,4,43.73,25.78,79.51,35.49,68.55,30.88,1577.5,"Europe"
2012,"Japan",134.23,54.22,79.94,2.11,2.15,111.14,5.75,96.11,52.5,133.75,46.5,640,"Asia"
2012,"Australia",122.96,58.85,109.5,5.02,5.11,65.53,40.62,79.11,37.25,107.15,37.09,4455.94,"Oceania"
2012,"Denmark",116.52,41.31,101.98,4.02,4.84,43.41,45.31,89.81,34.17,81.9,31,4900,"Europe"
2012,"Belgium",108.68,35.02,90.44,5.02,5.06,47.03,40.62,82.22,88.33,63.99,21.5,4721.5,"Europe"
2012,"Ireland",107.77,38.12,89.6,5.09,6.55,48.66,46.07,41.06,45.17,18.42,11.67,66.67,"Europe"
2012,"Netherlands",104.5,41.15,95.17,5.41,5.71,47.74,28.4,70.37,41.67,57.06,26.83,1650,"Europe"
2012,"Sweden",101.86,29.36,100.7,2.78,3.31,59.84,36.24,86.76,32.5,54.57,23,2440,"Europe"
2012,"New Zealand",101.65,31.75,85.36,5.7,5.27,50.31,46.81,86.81,17.08,62.25,25.25,3391.5,"Oceania"
2012,"United Kingdom",100.13,37.85,88.35,4.96,5.63,51.86,46.04,76.04,64.43,146.29,44.17,4379.44,"Europe"
2012,"France",98.19,35.91,92.68,2.89,3.16,77.98,44.76,80.74,61.82,50.91,29,297.5,"Europe"
2012,"Canada",98.04,38.35,108.18,5.6,6.14,38.59,39.82,71.99,41.59,126.19,40.44,5210.46,"North America"
2012,"Singapore",96.08,90.69,93.29,3.53,4.61,106.28,20.21,58.97,70.83,274.66,66.25,7592.5,"Asia"
2012,"Israel",95.45,32.05,75.01,3.34,4.74,71.36,40.78,91.67,48.75,162.28,46.6,7709,"Asia"
2012,"Austria",94.84,34.34,98.31,4.2,4.38,53.24,44.08,83.18,42.84,60.44,23,3203.33,"Europe"
2012,"Italy",94.82,34.3,68.59,3.33,4.09,92.81,56.67,67.77,85.48,106.94,37.81,3863.43,"Europe"
2012,"Saudi Arabia",93.42,18.02,82.11,5.84,6.12,32.22,32.48,40.74,112.5,53.91,15.75,4189.5,"Asia"
2012,"Greece",93.09,18.9,48.31,3.41,3.64,85.7,52.03,51.76,87.77,110.19,38.22,3981.41,"Europe"
2012,"Germany",88.55,28.94,114.37,4.24,4.87,38.36,21.2,71.96,45.14,80.77,33.12,2238.12,"Europe"
2012,"Brazil",83.71,25.62,32.8,5.54,5.84,161.54,59.26,59.09,82.92,75.96,30,4127.25,"South America"
2012,"United States",83.06,37.42,116.48,10.04,11.81,22.83,64.93,65.52,61.27,108.87,36.36,6098.77,"North America"
2012,"United Arab Emirates",81.96,66.92,125.87,8.54,10.18,53.79,35.95,63.89,69.17,57.64,17,4344.67,"Asia"
2012,"Spain",80.24,27.3,88.01,3.09,3.7,70.08,32.96,69.92,85.62,66.87,26.45,4330,"Europe"
2012,"South Africa",75.64,25.36,92.47,9.48,9.26,34.8,78.12,59.54,88.96,108.92,34.5,9177,"Africa"
2012,"Slovenia",74.34,25.73,57.92,3.25,3.57,119.65,35.71,82.87,35,51.27,24.67,1650,"Europe"
2012,"Portugal",70.76,23,56.05,6.11,6.69,55.39,40.64,69.96,51.91,63.31,28,2585.43,"Europe"
