"Year","Country","CLI","RTI","Cost of Living Plus Rent Index","Groceries Index","Restaurant Price Index","Local Purchasing Power Index","CRI","Safety Index","HCI","Health CareExp. Index","PLI","Exp Pollution Index","Price To Income Ratio","Gross Rental Yield City Centre","Gross Rental Yield Outside of Centre","Price To Rent Ratio City Centre","Price To Rent Ratio Outside Of City Centre","Mortgage As A Percentage Of Income","Affordability Index","Traffic Index","Time Index(in minutes)","Time Exp. Index","Inefficiency Index","CO2 Emission Index","Continent"
2012,"Norway",151.34,55.5,116.85,142.37,150.23,92.62,19.07,80.93,79.04,147.12,19.22,23.23,7.5,4.18,4.35,23.93,22.99,55.86,1.79,43.38,18.5,18.5,34.94,1291.33,"Europe"
2012,"Switzerland",141.31,58.51,111.51,130.55,123.11,127.45,25.78,74.22,79.51,153.49,35.49,54.8,6.84,3.55,4,28.16,24.97,43.73,2.29,68.55,30.88,154.01,81.87,1577.5,"Europe"
2012,"Japan",134.23,54.22,105.43,117.97,84.28,79.94,5.75,94.25,96.11,179.41,52.5,74.37,18.89,2.11,2.15,47.42,46.42,111.14,0.9,133.75,46.5,4233.89,140.39,640,"Asia"
2012,"Monaco",128.15,173.08,144.32,89.8,138.14,62.3,NA,NA,NA,NA,NA,NA,27.5,5.26,2.41,19.01,41.53,217.79,0.46,NA,NA,NA,NA,NA,"Europe"
2012,"Australia",122.96,58.85,99.88,113.72,108.95,109.5,40.62,59.38,79.11,144.94,37.25,45.01,6.95,5.02,5.11,19.92,19.58,65.53,1.53,107.15,37.09,911.91,159.08,4455.94,"Oceania"
2012,"Denmark",116.52,41.31,89.45,94.09,130.69,101.98,45.31,54.69,89.81,168.2,34.17,50.18,6.48,4.02,4.84,24.86,20.67,43.41,2.3,81.9,31,161.39,92.44,4900,"Europe"
2012,"Belgium",108.68,35.02,82.17,86.01,107.48,90.44,40.62,59.38,82.22,153.6,88.33,120.99,6.05,5.02,5.06,19.93,19.76,47.03,2.13,63.99,21.5,21.5,95.98,4721.5,"Europe"
2012,"Ireland",107.77,38.12,82.7,97.13,106.06,89.6,46.07,53.93,41.06,78.19,45.17,63.99,5.92,5.09,6.55,19.64,15.27,48.66,2.06,18.42,11.67,11.67,0,66.67,"Europe"
2012,"Netherlands",104.5,41.15,81.7,69.58,104.36,95.17,28.4,71.6,70.37,136.9,41.67,60.3,6.17,5.41,5.71,18.5,17.5,47.74,2.09,57.06,26.83,32.03,63.77,1650,"Europe"
2012,"Iceland",103.6,32.71,78.09,97.74,92.19,78.56,33.33,66.67,NA,NA,7.08,12.69,4.16,8.97,7.4,11.15,13.52,63.82,1.57,NA,NA,NA,NA,NA,"Europe"
2012,"Sweden",101.86,29.36,75.76,85.33,101.5,100.7,36.24,63.76,86.76,162,32.5,43.85,8.4,2.78,3.31,36.03,30.2,59.84,1.67,54.57,23,23,43.68,2440,"Europe"
2012,"New Zealand",101.65,31.75,76.49,95.6,86.5,85.36,46.81,53.19,86.81,161.22,17.08,27.49,5.72,5.7,5.27,17.55,18.96,50.31,1.99,62.25,25.25,25.27,67.28,3391.5,"Oceania"
2012,"United Kingdom",100.13,37.85,77.72,83.74,94.07,88.35,46.04,53.96,76.04,139.92,64.43,86.41,6.82,4.96,5.63,20.14,17.77,51.86,1.93,146.29,44.17,3108.41,374.57,4379.44,"Europe"
2012,"Finland",99.69,36.47,76.94,82.32,96.9,98.14,17.58,82.42,77.08,145.15,24.38,35.51,8.77,3.36,3.81,29.77,26.24,55.84,1.79,NA,NA,NA,NA,NA,"Europe"
2012,"Bahrain",99.52,37.54,77.21,150.55,86.92,52.77,NA,NA,NA,NA,NA,NA,3.98,15.29,14.17,6.54,7.06,39.98,2.5,NA,NA,NA,NA,NA,"Asia"
2012,"France",98.19,35.91,75.77,82.96,94.92,92.68,44.76,55.24,80.74,148.52,61.82,84.68,10.59,2.89,3.16,34.54,31.66,77.98,1.28,50.91,29,72.31,40.51,297.5,"Europe"
2012,"Canada",98.04,38.35,76.56,93.84,83.16,108.18,39.82,60.18,71.99,134.92,41.59,52.33,5.14,5.6,6.14,17.87,16.28,38.59,2.59,126.19,40.44,1741.67,211.62,5210.46,"North America"
2012,"Kuwait",96.24,30.78,72.68,73.52,137.45,69.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia"
2012,"Singapore",96.08,90.69,94.14,82.76,65.1,93.29,20.21,79.79,58.97,113.26,70.83,93.89,16.6,3.53,4.61,28.35,21.69,106.28,0.94,274.66,66.25,24679.99,247.61,7592.5,"Asia"
2012,"Israel",95.45,32.05,72.63,77.35,89.45,75.01,40.78,59.22,91.67,170.57,48.75,69.37,9.9,3.34,4.74,29.98,21.07,71.36,1.4,162.28,46.6,4287.14,206.25,7709,"Asia"
2012,"Austria",94.84,34.34,73.07,85.06,76.59,98.31,44.08,55.92,83.18,153.81,42.84,59.78,6.85,4.2,4.38,23.81,22.86,53.24,1.88,60.44,23,23,91,3203.33,"Europe"
2012,"Italy",94.82,34.3,73.04,75.97,95.38,68.59,56.67,43.33,67.77,123.64,85.48,117.19,12.06,3.33,4.09,30.06,24.45,92.81,1.08,106.94,37.81,1062.49,124.58,3863.43,"Europe"
2012,"Saudi Arabia",93.42,18.02,66.29,135.45,39.6,82.11,32.48,67.52,40.74,73.33,112.5,156.7,3.53,5.84,6.12,17.12,16.34,32.22,3.1,53.91,15.75,15.75,60.29,4189.5,"Asia"
2012,"Greece",93.09,18.9,66.39,69.83,91.17,48.31,52.03,47.97,51.76,93.93,87.77,118.5,10.77,3.41,3.64,29.28,27.48,85.7,1.17,110.19,38.22,1155.14,149.25,3981.41,"Europe"
2012,"Cyprus",89.54,22.36,65.36,74.6,92.18,77.04,30.27,69.73,NA,NA,NA,NA,7.25,4,3.91,25,25.55,61.99,1.61,NA,NA,NA,NA,NA,"Asia"
2012,"Germany",88.55,28.94,67.1,72.15,76.2,114.37,21.2,78.8,71.96,133.86,45.14,58.08,5.21,4.24,4.87,23.57,20.55,38.36,2.61,80.77,33.12,330.4,103.18,2238.12,"Europe"
2012,"Lebanon",86.11,37.05,68.45,45.3,69.63,24.37,59.9,40.1,43.33,77.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asia"
2012,"Hong Kong",84.4,96.98,88.92,80.47,69.05,84.27,14.45,85.55,NA,NA,89.58,146.8,23.49,2.69,4.52,37.12,22.11,150.42,0.66,241,62,18377.31,200.59,5143.33,"Asia"
2012,"Qatar",84.28,63.5,76.8,81.63,72.85,153.59,NA,NA,NA,NA,NA,NA,5.59,4.49,9.46,22.29,10.57,48.07,2.08,NA,NA,NA,NA,NA,"Asia"
2012,"Puerto Rico",84.27,28.14,64.07,81.85,64.57,78.17,73.06,26.94,44.68,84.52,99.17,133.11,4.72,6.38,9.16,15.67,10.91,39.68,2.52,NA,NA,NA,NA,NA,"North America"
2012,"Brazil",83.71,25.62,62.8,57.83,56.97,32.8,59.26,40.74,59.09,111.7,82.92,112.38,13.39,5.54,5.84,18.05,17.13,161.54,0.62,75.96,30,109.43,85.88,4127.25,"South America"
